Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
AFXN,X,AMAZON LOGISTICS- INC.,7189,BRO,BROKER,Trucklo
AFYQ,A,ALLSTATE FREIGHT SYSTEMS INC.,7250,CON,CONTRACT FLEET,Trucklo
AFZE,A,AIFLEET,B870,CON,CONTRACT FLEET,Trucklo
AGAP,X,ANGAD TRANSPORT,AGAP,CON,CONTRACT FLEET,Trucklo
AGBA,X,AG and B TRUCKING INC,AGBA,CON,CONTRACT FLEET,Trucklo
AGCP,A,A C G TRANSPORTATION INC,AGCP,CON,CONTRACT FLEET,Trucklo
AGEV,A,AMERICAN GLOBAL EXPRESS- LLC,AGEV,CON,CONTRACT FLEET,Trucklo
AGFC,X,AETNA FREIGHT LINES- INC.,AGFC,CON,CONTRACT FLEET,Trucklo
AGGN,X,AIR GROUND and OCEAN LOGISTICS,AGGN,CON,CONTRACT FLEET,Trucklo
AGHR,X,PATRICK ASH TRANSPORTATION- LT,AGHR,CON,CONTRACT FLEET,Trucklo
AGIK,A,AGK LOGISTICS INC,AGIK,CON,CONTRACT FLEET,Trucklo
AGIV,X,ANGETI INC.,AGIV,CON,CONTRACT FLEET,Trucklo
AGLO,X,AG LOGISTICS- INC.,AGLO,TAB,TABLOID INSERTS,
AGMJ,X,AGM TRANSPORT- LLC,AGMJ,CON,CONTRACT FLEET,Trucklo
AGMP,A,A G M TRANSPORT INC,AGMP,CON,CONTRACT FLEET,Trucklo
AGNI,A,ANGIE S TRANSPORTATION LLC,AGNI,CON,CONTRACT FLEET,Trucklo
AGPE,X,AGX TRANSPORT,AGPE,CON,CONTRACT FLEET,Trucklo
AGPJ,A,AMERICAN GROUP,B511,CON,CONTRACT FLEET,Trucklo
AGPM,A,AGP TRANSPORT INC,7911,CON,CONTRACT FLEET,Trucklo
AGQC,X,ARL LOGISTICS LLC,AIPA,CON,CONTRACT FLEET,Trucklo
AGTH,X,GARITH R. ANDERSON TRUCKING- I,AGTH,CON,CONTRACT FLEET,Trucklo
AGUV,A,ANGULO TRANSPORTATION SERVICE,7585,CON,CONTRACT FLEET,Trucklo
AGVT,X,AGGRESSIVE TRANSPORTATION,AGVT,CON,CONTRACT FLEET,Trucklo
AGXJ,X,ANGELOTTI CARTAGE- INC.,AGXJ,CON,CONTRACT FLEET,Trucklo
AGXO,A,AGA-EXPRESS- LLC,AGXO,CON,CONTRACT FLEET,Trucklo
AGZN,X,A and G CARRIER CORPORATION,AGZN,CON,CONTRACT FLEET,Trucklo
AHEK,X,APACHE TRUCKING,AHEK,CON,CONTRACT FLEET,Trucklo
AHEY,X,ALPHA E and L TRANSPORT LLC,AHEY,CON,CONTRACT FLEET,Trucklo
AHFH,A,ALPHA FREIGHT INC,AHFH,CON,CONTRACT FLEET,Trucklo
