Carrier Code,Status,Name,Scac,Carrier Type,Type Description,Type Group
RM549928,X,SFTF LOGISTICS,S722,CON,CONTRACT FLEET,Trucklo
RM549936,X,UNIVERSAL TRANSPORT LLC,E660,CON,CONTRACT FLEET,Trucklo
RM549948,X,MACS LOGISTICS LLC,MACW,CON,CONTRACT FLEET,Trucklo
RM549967,X,AME EXPRESS LLC,E125,CON,CONTRACT FLEET,Trucklo
RM550035,A,JCH-M INC,0831,CON,CONTRACT FLEET,Trucklo
RM550261,X,GLA TRANSPORTATION INC,K202,CON,CONTRACT FLEET,Trucklo
RM550345,X,NAGRA TRANSPORT INC.,U593,CON,CONTRACT FLEET,Trucklo
RM550377,A,H DOUBLE M TRUCKING- LLC,B406,CON,CONTRACT FLEET,Trucklo
RM550405,A,MAGIA LOGISTICS LLC,D070,CON,CONTRACT FLEET,Trucklo
RM550412,X,CORPORATE TRAFFIC- INC,8016,CON,CONTRACT FLEET,Trucklo
RM550446,X,K and K LOGISTICS LLC,KKLH,CON,CONTRACT FLEET,Trucklo
RM55045,X,FREIGHT LOGISTICS LLC,M594,CON,CONTRACT FLEET,Trucklo
RM550683,A,RED CELL EXPRESS INC,D348,CON,CONTRACT FLEET,Trucklo
RM550713,X,TAXI TRUCKING GROUP LLC,U617,CON,CONTRACT FLEET,Trucklo
RM550727,A,JER TRANSPORT LLC,7861,CON,CONTRACT FLEET,Trucklo
RM550728,X,JJ TRANSPORT,S201,CON,CONTRACT FLEET,Trucklo
RM550760,X,BLACK EAGLE EXPRESS LLC,M382,CON,CONTRACT FLEET,Trucklo
RM550762,A,RED RIVER TRUCKING LLC,RRDK,CON,CONTRACT FLEET,Trucklo
RM550767,A,SAFEWAY LOGISTIC SERVICES INC,S500,CON,CONTRACT FLEET,Trucklo
RM55080,X,GTX TRANSPORT- INC,K695,CON,CONTRACT FLEET,Trucklo
RM550801,A,ARTANNE EXPRESS INC,0075,CON,CONTRACT FLEET,Trucklo
RM550822,A,JWP EXPRESS INC,A890,CON,CONTRACT FLEET,Trucklo
RM551019,X,TGL TRANSPORT,L125,CON,CONTRACT FLEET,Trucklo
RM551073,X,HIGHWAY LANE EXPRESS INC,M835,CON,CONTRACT FLEET,Trucklo
RM551075,X,KENNY TRUCKING INC,J386,CON,CONTRACT FLEET,Trucklo
RM551080,X,AMC CARRIERS LLC,E477,CON,CONTRACT FLEET,Trucklo
RM551124,X,ZOOLU TRANSPORTATION INC,D191,CON,CONTRACT FLEET,Trucklo
RM551148,A,CIBRIAN TRUCKING LLC,2953,CON,CONTRACT FLEET,Trucklo
RM551340,X,POLARIS TRANSPORT INC,N784,CON,CONTRACT FLEET,Trucklo
RM551439,X,G S GRACE LOGISTICS LLC,J699,CON,CONTRACT FLEET,Trucklo
RM551471,X,DJS EXPRESS LLC,U073,CON,CONTRACT FLEET,Trucklo
RM551489,X,BALKAN TRANS LLC,L307,CON,CONTRACT FLEET,Trucklo
RM551495,X,RVS ROADLINES LLC,0579,CON,CONTRACT FLEET,Trucklo
RM551660,X,GILL BROTHERS LLC,L242,CON,CONTRACT FLEET,Trucklo
RM551715,A,SUKHMANI TRANSPORT- INC.,C094,CON,CONTRACT FLEET,Trucklo
RM551911,X,GRACE TRANSPORTATION,D996,CON,CONTRACT FLEET,Trucklo
RM552082,A,BRIGHT STAR TRUCKING INC,S639,CON,CONTRACT FLEET,Trucklo
RM552185,X,ANGELS TRUCKING SERVICES LLC,U885,CON,CONTRACT FLEET,Trucklo
RM55226,X,J and S TRUCKING,J963,CON,CONTRACT FLEET,Trucklo
RM552272,X,DEFT TRANSPORT INC,L870,CON,CONTRACT FLEET,Trucklo
RM552432,X,JC TRUCKING EXPRESS LLC,E149,CON,CONTRACT FLEET,Trucklo
RM552462,X,SAFE CALL TRUCKING LLC,E434,CON,CONTRACT FLEET,Trucklo
RM55251,X,STRATEGIC TRANSPORTATION SOLUT,N133,CON,CONTRACT FLEET,Trucklo
RM552526,A,US TRUCK LINES LLC,UKLC,CON,CONTRACT FLEET,Trucklo
RM552548,X,PANTHER LOGISTICS INC,E958,CON,CONTRACT FLEET,Trucklo
RM552552,X,MORUMBWA TRUCKING SERVICES,J922,CON,CONTRACT FLEET,Trucklo
RM552567,X,E LOGISTICS LLC,J635,CON,CONTRACT FLEET,Trucklo
RM552572,A,PUMA EXPRESS INC,E153,CON,CONTRACT FLEET,Trucklo
RM552577,A,TRAFIC TRUCKING LLC,M095,CON,CONTRACT FLEET,Trucklo
RM552584,X,GAMBLE TRUCKING and TRANSPORT,J264,CON,CONTRACT FLEET,Trucklo
RM552617,A,BEST WAY TRUCKLINES INC,L943,CON,CONTRACT FLEET,Trucklo
RM552845,A,INDIA TRANSPORT INC,0685,CON,CONTRACT FLEET,Trucklo
RM552874,X,ABA TRANSPORTATION LLC,V527,CON,CONTRACT FLEET,Trucklo
RM552878,X,MAG XPRESS LLC,M852,CON,CONTRACT FLEET,Trucklo
RM552966,X,SMITH TRUCKING,S938,CON,CONTRACT FLEET,Trucklo
RM552984,A,KOVAL BROS INC,KVBI,CON,CONTRACT FLEET,Trucklo
RM552986,A,CROMEX INC.,4692,CON,CONTRACT FLEET,Trucklo
RM553015,X,KV LOAD INC,,CON,CONTRACT FLEET,Trucklo
RM553041,X,18 WHEELER TRUCKING- INC.,E039,CON,CONTRACT FLEET,Trucklo
RM553044,X,GREAT LAKES ONE CARRIER LLC,J053,CON,CONTRACT FLEET,Trucklo
RM553309,A,CBS CARRIERS INC,S591,CON,CONTRACT FLEET,Trucklo
RM553334,A,ELDANA TRUCKING- LLC,L432,CON,CONTRACT FLEET,Trucklo
RM553349,X,DAMA TRUCKING INC,9596,CON,CONTRACT FLEET,Trucklo
RM553376,A,TIVA TRANS INC,TVAG,CON,CONTRACT FLEET,Trucklo
RM553620,X,ABC TRANSPIRATION LLC,8718,CON,CONTRACT FLEET,Trucklo
RM553772,A,A and J TRUCKING EXPRESS INC,D615,CON,CONTRACT FLEET,Trucklo
RM55387,X,MPG TRUCKING- LLC,MPGC,CON,CONTRACT FLEET,Trucklo
RM55389,A,TOMCAT KANHAUL INC,1499,CON,CONTRACT FLEET,Trucklo
RM554321,X,B and D TRANSPORT LLC,U283,CON,CONTRACT FLEET,Trucklo
RM554533,X,UNITED TRANSPORT LLC,M039,CON,CONTRACT FLEET,Trucklo
RM554602,X,MOPEE LOGISTICS,MOIO,CON,CONTRACT FLEET,Trucklo
RM554614,X,RAIDER LOGISTICS LLC,TGST,CON,CONTRACT FLEET,Trucklo
RM554654,X,LONE WOLF EXPRESS INC,E981,CON,CONTRACT FLEET,Trucklo
RM554658,A,OCEAN LINER TRANSPORT,0529,BRO,BROKER,Trucklo
RM554661,X,PINE HILL PORK FARMS INC,J394,CON,CONTRACT FLEET,Trucklo
RM554950,A,K TRANS,L786,CON,CONTRACT FLEET,Trucklo
RM554952,A,NEW SOUND TRANSPORT INC,NWSA,CON,CONTRACT FLEET,Trucklo
RM554979,X,CIVIC EXPRESS LLC,T141,CON,CONTRACT FLEET,Trucklo
RM554991,A,MAKARAN TRANSPORT LLC,A116,CON,CONTRACT FLEET,Trucklo
RM554993,X,DEOL EXPRESS,E162,CON,CONTRACT FLEET,Trucklo
RM555002,X,KOLOBOK INC,M223,CON,CONTRACT FLEET,Trucklo
RM555030,X,D and K EXPRESS,N565,CON,CONTRACT FLEET,Trucklo
RM555039,X,BLUE GLOBE TRANSPORTATION LLC,K423,CON,CONTRACT FLEET,Trucklo
RM555098,A,MMC EXPRESS LLC,2536,CON,CONTRACT FLEET,Trucklo
RM555307,X,SAMARAT LLC,M993,CON,CONTRACT FLEET,Trucklo
RM555374,X,PROUD EAGLE EXPRESS INC,T128,CON,CONTRACT FLEET,Trucklo
RM555435,X,ROADIES INC,S012,CON,CONTRACT FLEET,Trucklo
RM555625,X,SWENSEN TRUCKING LLC,SWNR,CON,CONTRACT FLEET,Trucklo
RM555695,A,DELIRIOUS J LOGISTICS INC,1374,CON,CONTRACT FLEET,Trucklo
RM555700,X,APPLAUZE TRANSFER INC,V342,CON,CONTRACT FLEET,Trucklo
RM555721,A,VKA EXPRESS INC,7579,CON,CONTRACT FLEET,Trucklo
RM555752,A,T WATTS LLC,S709,CON,CONTRACT FLEET,Trucklo
RM555774,X,ALONZO TRUCKING LLC,AZKG,CON,CONTRACT FLEET,Trucklo
RM555790,A,SEVEN SON S TRUCKING LLC,T016,CON,CONTRACT FLEET,Trucklo
RM55596,X,UA EXPRESS INC,2127,CON,CONTRACT FLEET,Trucklo
RM555986,A,JAVUREK EXPRESS LLC,M911,CON,CONTRACT FLEET,Trucklo
RM556072,X,ECOSMART TRUCKS INC,1720,CON,CONTRACT FLEET,Trucklo
RM556077,X,L and E RELIABLE TRANSPORT LLC,K964,CON,CONTRACT FLEET,Trucklo
RM556154,X,ARBOR BUILDING SERVICES INC,ABDN,CON,CONTRACT FLEET,Trucklo
RM556206,X,3 STAR TRUCKING LLC,J539,CON,CONTRACT FLEET,Trucklo
RM556776,X,M POWER TRANSPORT LLC,K167,CON,CONTRACT FLEET,Trucklo
RM556801,X,BBK EXPRESS,L661,CON,CONTRACT FLEET,Trucklo
RM556838,A,EASTWAY LOGISTICS INC,J467,CON,CONTRACT FLEET,Trucklo
RM556840,X,MENENDEZ EXPRESS LLC,D926,CON,CONTRACT FLEET,Trucklo
RM556841,X,CLAIRE LOGISTICS LLC,9092,CON,CONTRACT FLEET,Trucklo
RM556843,X,GP TRANSPORTERS LLC,J490,CON,CONTRACT FLEET,Trucklo
RM556855,X,ACB LOGISTICS INC,5345,CON,CONTRACT FLEET,Trucklo
RM556862,A,GRAND TRANSPORTATION,A408,CON,CONTRACT FLEET,Trucklo
RM556875,X,STARLIGHT EXPEDITE INC,A392,CON,CONTRACT FLEET,Trucklo
RM556879,X,DOLPHINS TRANSPORT INC,8721,CON,CONTRACT FLEET,Trucklo
RM557163,A,APL CARGO INC,E877,CON,CONTRACT FLEET,Trucklo
RM557174,X,PARMAR TRUCK LINES LLC,V625,CON,CONTRACT FLEET,Trucklo
RM55721,A,ROAD WARRIORS GROUP LLC,A379,CON,CONTRACT FLEET,Trucklo
RM557214,A,MEGA FREIGHT LOGISTICS INC,J827,CON,CONTRACT FLEET,Trucklo
RM557312,A,SULTAN TRANS INC,N409,CON,CONTRACT FLEET,Trucklo
RM557315,X,US HIGHWAY EXPRESS INC,T047,CON,CONTRACT FLEET,Trucklo
RM557322,X,HSB TRUCKING INC,S519,CON,CONTRACT FLEET,Trucklo
RM557460,X,IRR EXPRESS CORP,T515,CON,CONTRACT FLEET,Trucklo
RM557545,X,JULIAN E RAFAEL,J001,CON,CONTRACT FLEET,Trucklo
RM557555,X,DHILLON LOGISTIX INC,J419,CON,CONTRACT FLEET,Trucklo
RM557595,X,BEL GROUP TRANS INC,9277,CON,CONTRACT FLEET,Trucklo
RM557625,A,FLS EXPRESS LLC,FGHV,CON,CONTRACT FLEET,Trucklo
RM557637,X,FUN TIME TRUCKING,A443,CON,CONTRACT FLEET,Trucklo
RM557646,X,TOTAL HAULING- LLC,M669,CON,CONTRACT FLEET,Trucklo
RM557655,X,A2Z TRANSPORT LLC,N638,CON,CONTRACT FLEET,Trucklo
RM55783,X,FREIGHTCHASERS,K662,CON,CONTRACT FLEET,Trucklo
RM557855,X,STREAMLINE EXPRESS INC,3861,CON,CONTRACT FLEET,Trucklo
RM557883,X,BRUCES TRUCKING,BTZV,CON,CONTRACT FLEET,Trucklo
RM557887,X,ADVANCED LOGISTICS- INC,K255,CON,CONTRACT FLEET,Trucklo
RM557906,A,ALLTRANS EXPRESS INC,S542,CON,CONTRACT FLEET,Trucklo
RM55797,X,ROSE BROTHERS FARMS TRUCKING-,U631,CON,CONTRACT FLEET,Trucklo
RM557977,A,NICK WALTON TRUCKING LLC,WNTO,CON,CONTRACT FLEET,Trucklo
RM558020,A,ISSACK TRUCKING LLC,M305,CON,CONTRACT FLEET,Trucklo
RM558022,X,K N G LINES INC,S390,CON,CONTRACT FLEET,Trucklo
RM558224,X,GREENWAY FREIGHT LINE LLC,K641,CON,CONTRACT FLEET,Trucklo
RM558259,X,BEALINE TRANSPORTATION,L820,CON,CONTRACT FLEET,Trucklo
RM558285,X,PHOENIX TRANSPORT LLC,M953,CON,CONTRACT FLEET,Trucklo
RM558378,X,LATSON ENTERPRISES,LSEB,CON,CONTRACT FLEET,Trucklo
RM558379,X,GR EXPRESS LLC,V132,CON,CONTRACT FLEET,Trucklo
RM558557,A,INDIO TRUCKING LLC,A141,CON,CONTRACT FLEET,Trucklo
RM558566,X,GDR TRANSPORT LLC,V227,CON,CONTRACT FLEET,Trucklo
RM558770,X,DIRECT TRUCKING LLC,0199,CON,CONTRACT FLEET,Trucklo
RM558899,A,REH EXPRESS INC,2864,CON,CONTRACT FLEET,Trucklo
RM558912,X,AA TRUCKING LLC,L323,CON,CONTRACT FLEET,Trucklo
RM559011,X,MD GLOBAL FREIGHT INC,T264,CON,CONTRACT FLEET,Trucklo
RM559027,X,S and M TRUCKING AND TRANSPORT,D094,CON,CONTRACT FLEET,Trucklo
RM559063,X,MIDWEST LOGISTICS LLC,S454,CON,CONTRACT FLEET,Trucklo
RM559068,X,SABIC TRUCKING- LLC,SBCD,CON,CONTRACT FLEET,Trucklo
RM559134,X,TP TRANSPORT LLC,E364,CON,CONTRACT FLEET,Trucklo
RM559294,X,MC CARRIERS,8723,CON,CONTRACT FLEET,Trucklo
RM559440,X,LICEA LOGISTICS INC,D327,CON,CONTRACT FLEET,Trucklo
RM559450,X,J ROWE TRUCKING INC,U955,CON,CONTRACT FLEET,Trucklo
RM559465,X,EAGLEYE TRANSPORT,K108,CON,CONTRACT FLEET,Trucklo
RM559466,X,TMAX TRANSPORT LLC,TXTM,CON,CONTRACT FLEET,Trucklo
RM559475,X,PRIME INTERMODAL INC,J920,CON,CONTRACT FLEET,Trucklo
RM559508,X,ALABAMA KID TRUCKING LLC,U260,CON,CONTRACT FLEET,Trucklo
RM559516,X,SN EXPRESS,S184,CON,CONTRACT FLEET,Trucklo
RM55964,X,J and C TRUCK LINES- INC.,L725,CON,CONTRACT FLEET,Trucklo
RM559765,X,RR TRANSPORTATION INC,0406,CON,CONTRACT FLEET,Trucklo
RM559799,X,GUYAN TRANSPORTATION- L.L.C.,K129,CON,CONTRACT FLEET,Trucklo
RM559800,X,GEES HOT SHOTS SERVICES LLC,E383,CON,CONTRACT FLEET,Trucklo
RM559839,X,KRGA TRANSPORT INC,U517,CON,CONTRACT FLEET,Trucklo
RM560181,X,FRIENDZ LOGISTICS INC,V637,CON,CONTRACT FLEET,Trucklo
RM560365,X,ZEPA TRANSPORT LLC,T198,CON,CONTRACT FLEET,Trucklo
RM560440,A,BAROCK INC,7884,CON,CONTRACT FLEET,Trucklo
RM560496,X,PRIORITY EXPRESS TRUCKS LLC,M798,CON,CONTRACT FLEET,Trucklo
RM560577,A,BRV TRUCKING LLC,E925,CON,CONTRACT FLEET,Trucklo
RM560802,X,ASG ENTERPRISES LLC,K386,CON,CONTRACT FLEET,Trucklo
RM560838,X,BADIAL TRUCK LINES,E539,CON,CONTRACT FLEET,Trucklo
RM560843,X,QUICK RESPONSE TRANSPORT INC.,J853,CON,CONTRACT FLEET,Trucklo
RM561073,X,SEVEN CORNERS LOGISTICS- INC.,L259,CON,CONTRACT FLEET,Trucklo
RM561231,X,DKG TRANSPORTATION INC,L959,CON,CONTRACT FLEET,Trucklo
RM561281,X,JOHN TRUCKING LLC,N227,CON,CONTRACT FLEET,Trucklo
RM561305,A,E.T TRANSPORT CORP.,A485,CON,CONTRACT FLEET,Trucklo
RM561325,X,TROY GORDON TRUCKING LLC,8659,CON,CONTRACT FLEET,Trucklo
RM561348,X,BIG RICKS TRUCKING LLC,K107,CON,CONTRACT FLEET,Trucklo
RM561360,A,GERGUN TRANSPORTATION INC,GGNH,CON,CONTRACT FLEET,Trucklo
RM561361,A,TOOR CARRIER CORPORATION,S408,CON,CONTRACT FLEET,Trucklo
RM561391,X,DTL LOGISTICS- INC.,J184,CON,CONTRACT FLEET,Trucklo
RM561617,X,R and H LOGISTICS LLC,U115,CON,CONTRACT FLEET,Trucklo
RM561636,X,REY M APPLIANCES,J950,CON,CONTRACT FLEET,Trucklo
RM561695,X,A AND B TRANSPORT,J765,CON,CONTRACT FLEET,Trucklo
RM561772,X,CLAUDIO PEDRAZA,N979,CON,CONTRACT FLEET,Trucklo
RM561786,A,ROD AND EJ TRUCKING LLC,D351,CON,CONTRACT FLEET,Trucklo
RM561810,X,LANDOIS TRANSPORTATION,K047,CON,CONTRACT FLEET,Trucklo
RM561858,X,HEAVY EQUIPMENT- LOADERS and P,HVYD,CON,CONTRACT FLEET,Trucklo
RM561862,X,LMS,7967,CON,CONTRACT FLEET,Trucklo
RM56201,X,NAISSUS INC.,S271,CON,CONTRACT FLEET,Trucklo
RM562126,X,B and K TRANS LLC,T874,CON,CONTRACT FLEET,Trucklo
RM56229,X,INLAND TRANSPORTATION SERVICES,FRIM,CON,CONTRACT FLEET,Trucklo
RM562426,X,RR TRUCKING SERVICES,J209,CON,CONTRACT FLEET,Trucklo
RM562600,A,CARGONET LLC,J534,CON,CONTRACT FLEET,Trucklo
RM562634,X,MCGEE TRUCKING LLC,S202,CON,CONTRACT FLEET,Trucklo
RM562657,X,BHF TRUCKING LLC,D260,CON,CONTRACT FLEET,Trucklo
RM562885,X,AAG EXPRESS GROUP,N316,CON,CONTRACT FLEET,Trucklo
RM56300,X,LUEDTKE TRUCKING INC.,S104,CON,CONTRACT FLEET,Trucklo
RM563103,X,GIC EXPRESS INC,M728,CON,CONTRACT FLEET,Trucklo
RM563107,A,OVERLAND TRUCKING LLC,J051,BRO,BROKER,Trucklo
RM56323,A,K and K TRUCKING INC,3774,CON,CONTRACT FLEET,Trucklo
RM563326,X,AVN TRANS INC,E609,CON,CONTRACT FLEET,Trucklo
RM563415,X,ROBERT PENROD MOTORFREIGHT,S603,CON,CONTRACT FLEET,Trucklo
RM563418,X,INFINITY TRUCKING LLC,V639,CON,CONTRACT FLEET,Trucklo
RM563443,A,BIG SWIPE TRUCKING LLC,D031,CON,CONTRACT FLEET,Trucklo
RM563710,X,SALBA TRUCKING,M620,CON,CONTRACT FLEET,Trucklo
RM563716,A,ASHLINE TRANSPORTATION INC,N660,CON,CONTRACT FLEET,Trucklo
RM564224,X,NORA EXPRESS INC,J918,CON,CONTRACT FLEET,Trucklo
RM564254,X,AMB TRANSPORT INC,N849,CON,CONTRACT FLEET,Trucklo
RM564298,A,E B S TRANSPORT LLC,S883,CON,CONTRACT FLEET,Trucklo
RM564304,X,SHALLOW CREEK TRANSPORTATION,E524,CON,CONTRACT FLEET,Trucklo
RM564305,X,HATCH TRANSPORTATION LLC,T784,CON,CONTRACT FLEET,Trucklo
RM564306,X,EWAYS,K760,CON,CONTRACT FLEET,Trucklo
RM56432,X,M.A.S. TRANSPORT- LLC,E849,CON,CONTRACT FLEET,Trucklo
RM564520,A,SPARK CARRIER INC,K385,CON,CONTRACT FLEET,Trucklo
RM564659,A,DELTA LOGISTICS EXPRESS INC,7133,CON,CONTRACT FLEET,Trucklo
RM564744,X,SLB TRANSPORT INC,U499,CON,CONTRACT FLEET,Trucklo
RM564946,A,BM TRANZ INC.,M962,CON,CONTRACT FLEET,Trucklo
RM564991,X,INTRALINE LLC,6219,CON,CONTRACT FLEET,Trucklo
RM564996,X,Y AND M TRUCKING LLC,A101,CON,CONTRACT FLEET,Trucklo
RM565002,X,MCLAREN TRUCKING INC,L822,CON,CONTRACT FLEET,Trucklo
RM565018,X,FAR DISTRIBUTIONS LLC,2263,CON,CONTRACT FLEET,Trucklo
RM565032,X,K and T TRANS GROUP INC,V538,CON,CONTRACT FLEET,Trucklo
RM565048,X,SOL LOGISTICS INC,T169,CON,CONTRACT FLEET,Trucklo
RM565051,X,ROSSTAVI FREIGHT TRANSPORT INC,J612,CON,CONTRACT FLEET,Trucklo
RM565070,X,MACER TRANSPORTATION INC,N633,CON,CONTRACT FLEET,Trucklo
RM565599,X,CHET TRANSPORT LLC,D058,CON,CONTRACT FLEET,Trucklo
RM565602,X,KOSSY TRANSPORT LLC,7110,CON,CONTRACT FLEET,Trucklo
RM565829,A,TNM TRANSPORT INC,E610,CON,CONTRACT FLEET,Trucklo
RM565875,X,SND TRUCKING LLC,V127,CON,CONTRACT FLEET,Trucklo
RM565918,X,ASBERRY TRUCKING,E652,CON,CONTRACT FLEET,Trucklo
RM565932,A,USM TRUCKING INC,0104,CON,CONTRACT FLEET,Trucklo
RM565935,A,D and R LOCAL LOGISTICS LLC,D060,CON,CONTRACT FLEET,Trucklo
RM565973,X,SINGH S TRANSPORT INC,U739,CON,CONTRACT FLEET,Trucklo
RM566266,X,GEORGE S UPDEGRAFF,A477,CON,CONTRACT FLEET,Trucklo
RM56627,X,ALLAN GILDEMEISTER TRUCKING,K082,CON,CONTRACT FLEET,Trucklo
RM566457,X,K JONES AND SON LLC,V044,CON,CONTRACT FLEET,Trucklo
RM566648,X,LSA TRUCKING LLC,S196,CON,CONTRACT FLEET,Trucklo
RM566660,X,ATL TRANSPORT LLC,V601,CON,CONTRACT FLEET,Trucklo
RM566908,A,PLATINUM TRUCKING LLC,9072,CON,CONTRACT FLEET,Trucklo
RM566931,X,KLE TRANSPORT,M765,CON,CONTRACT FLEET,Trucklo
RM566940,X,SAVANNAH TRADERS LLC,T282,CON,CONTRACT FLEET,Trucklo
RM566997,X,ALL MARINE SHIPPING LLC,S901,CON,CONTRACT FLEET,Trucklo
RM567006,X,KREAM TRANSPORT INC,L342,CON,CONTRACT FLEET,Trucklo
RM567009,X,S and E TRUCKING INC,K489,CON,CONTRACT FLEET,Trucklo
RM567012,X,VAN LINE EXPRESS INC,U970,CON,CONTRACT FLEET,Trucklo
RM567028,X,MIDWEST TRUST LOGISTICS LLC,L968,CON,CONTRACT FLEET,Trucklo
RM567151,A,SATKARTAR TRANSPORT INC,S045,CON,CONTRACT FLEET,Trucklo
RM567159,X,SIGMA EXPRESS INC,U263,CON,CONTRACT FLEET,Trucklo
RM567431,X,HAOS TRUCKING INC,M713,CON,CONTRACT FLEET,Trucklo
RM567502,X,YUKON TRANSPORT LLC,N402,CON,CONTRACT FLEET,Trucklo
RM567589,X,SUMMER LINE TRANSPORT LLC,U319,CON,CONTRACT FLEET,Trucklo
RM567816,A,NEW STREAM INC,0097,CON,CONTRACT FLEET,Trucklo
RM568078,A,TRUCKS 2 GO LLC,J520,CON,CONTRACT FLEET,Trucklo
RM568335,X,WILLIAMS TRANSPORT LLC,9941,CON,CONTRACT FLEET,Trucklo
RM568358,X,HENOK TRANSPORTATION,U358,CON,CONTRACT FLEET,Trucklo
RM568396,X,GJC TRANSPORT,L513,CON,CONTRACT FLEET,Trucklo
RM568403,X,MSJET INC,E374,CON,CONTRACT FLEET,Trucklo
RM568443,A,JS TRUCKING INC,0861,CON,CONTRACT FLEET,Trucklo
RM568465,A,SPEEDMAX INC,9062,CON,CONTRACT FLEET,Trucklo
RM568703,X,ALB FREIGHT TRANSPORTATION LLC,B624,CON,CONTRACT FLEET,Trucklo
RM568793,X,MQT LLC,V325,CON,CONTRACT FLEET,Trucklo
RM568807,X,JT TRANSPORTATION INC,E051,CON,CONTRACT FLEET,Trucklo
RM569077,X,ALLSTATE LOGISTICS LLC,2189,CON,CONTRACT FLEET,Trucklo
RM569179,X,ISSAK TRANSPORTATION LLC,B379,CON,CONTRACT FLEET,Trucklo
RM569448,A,TIR EXPRESS TRANS LLC,7786,CON,CONTRACT FLEET,Trucklo
RM569467,X,MLE HOTSHOT TRANSPORT LLC,M357,CON,CONTRACT FLEET,Trucklo
RM569554,X,3JJJ TRANSPORT,TJJP,CON,CONTRACT FLEET,Trucklo
RM569795,X,ALPA BROTHERS TRUCKING INC,M809,CON,CONTRACT FLEET,Trucklo
RM569833,X,OSWALDO GAMARRA,S153,CON,CONTRACT FLEET,Trucklo
RM569858,A,KP GOLD STAR INC,A874,CON,CONTRACT FLEET,Trucklo
RM569864,X,MMW TRUCKING INCORPORATED,L522,CON,CONTRACT FLEET,Trucklo
RM569900,X,FS JR TRUCKING,N792,CON,CONTRACT FLEET,Trucklo
RM57057,X,TOMY FREIGHT  INC,8066,CON,CONTRACT FLEET,Trucklo
RM570699,X,BAJA X TRUCKING,K229,CON,CONTRACT FLEET,Trucklo
RM570998,X,AA LOGISTICS NC LLC,M181,CON,CONTRACT FLEET,Trucklo
RM571033,X,LUUL TRUCKING LLC,S377,CON,CONTRACT FLEET,Trucklo
RM571044,X,DIVERSIFIED ADA ENTERPRIZES IN,N812,CON,CONTRACT FLEET,Trucklo
RM571057,X,NFL LOGISTICS LLC,T952,CON,CONTRACT FLEET,Trucklo
RM571060,A,CHH CARRIER INC,L315,CON,CONTRACT FLEET,Trucklo
RM571067,X,DARPOL INC,K444,CON,CONTRACT FLEET,Trucklo
RM571074,A,HALOL TRANSPORT LLC,J537,CON,CONTRACT FLEET,Trucklo
RM571314,A,KLINGHAGEN TRUCKING LLC,V898,CON,CONTRACT FLEET,Trucklo
RM571325,A,PR DIRECT,S812,BRO,BROKER,Trucklo
RM571792,X,MOONLIGHT TRUCKING INC,J649,CON,CONTRACT FLEET,Trucklo
RM571801,A,AGY LOGISTICS INC,E891,CON,CONTRACT FLEET,Trucklo
RM571805,X,CAN DO CARRIERS LLC,N884,CON,CONTRACT FLEET,Trucklo
RM571812,A,MDJ EXPRESS INC,C054,CON,CONTRACT FLEET,Trucklo
RM571819,X,SPRUCE TRUCKING LLC,SRKK,CON,CONTRACT FLEET,Trucklo
RM571820,X,BG PRENKU LLC,U999,CON,CONTRACT FLEET,Trucklo
RM572084,X,E and M TRANSPORTATION INC,EMRT,CON,CONTRACT FLEET,Trucklo
RM572581,A,FREEDOM VAN LINES INC,E786,CON,CONTRACT FLEET,Trucklo
RM572599,A,KAD GROUP LOGISTICS INC,M233,CON,CONTRACT FLEET,Trucklo
RM57265,X,ONE DAY AT A TIME TRANSPORT,3403,CON,CONTRACT FLEET,Trucklo
RM57278,X,STANDLEE HAY TRUCKING CO.- INC,SHYG,CON,CONTRACT FLEET,Trucklo
RM572925,A,WINDS TRANSPORTATION INC,J895,CON,CONTRACT FLEET,Trucklo
RM572994,X,ICF TRUCKING INC,J146,CON,CONTRACT FLEET,Trucklo
RM573185,X,J L SHERMAN,9183,CON,CONTRACT FLEET,Trucklo
RM573202,X,INTERSTATE LOGISTICS,U241,CON,CONTRACT FLEET,Trucklo
RM573228,X,KILO ENTERPRISES LLC,S232,CON,CONTRACT FLEET,Trucklo
RM573456,X,B and D FREIGHT INC,J224,CON,CONTRACT FLEET,Trucklo
RM57347,X,MATRIX TRUCKLINES,L256,CON,CONTRACT FLEET,Trucklo
RM57359,X,T and M  TRUCKING-   INC.,J501,CON,CONTRACT FLEET,Trucklo
RM573635,A,CUSTOM CRITICAL CARRIER COMPAN,CCCQ,CON,CONTRACT FLEET,Trucklo
RM573666,X,CALLOWAY TRUCKING COMPANY,M291,CON,CONTRACT FLEET,Trucklo
RM57367,X,RAI TRUCKING INC.,RAIT,CON,CONTRACT FLEET,Trucklo
RM573684,X,KING INSTINCT LLC,KGIS,CON,CONTRACT FLEET,Trucklo
RM573698,X,ANDCO LOGISTICS INC,ACON,CON,CONTRACT FLEET,Trucklo
RM573713,A,MSO TRANSPORTATION LLC,K703,CON,CONTRACT FLEET,Trucklo
RM573718,A,RVK EXPRESS INC,T813,CON,CONTRACT FLEET,Trucklo
RM573719,X,NADIALEX LOGISTICS LLC,NDXL,CON,CONTRACT FLEET,Trucklo
RM573729,X,HMONG STAR TRANSPORT,J453,CON,CONTRACT FLEET,Trucklo
